slug,name
foot-pedal,Pedal
pedal-assist,Pedal Assist
throttle,Throttle
pedal-assist-and-throttle,Pedal Assist and Throttle
hand-pedal,Hand Cycle (hand pedal)
human-not-pedal,Human powered (not by pedals)
